Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.5772E-13,-2.0178E-13,0.0029343,0,0,0,0.29247,0.00043525,1.8741E-07,-1.2546E-17,0.00021502,1.8525E-17,0.00064391,0,0,0,0,0,0,package://SLDASM/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SLDASM/meshes/base_link.STL,,Base-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Empty_Link1_1,-1.3878E-17,0.03,0.001894,0,0,0,0.012485,5.692E-06,-4.0234E-21,1.8981E-21,7.299E-06,2.4588E-22,5.692E-06,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link1_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link1_1.STL,,Leg1_1-1,坐标系1,基准轴1,L1_1,revolute,-0.064106,0.11911,-0.00083011,0,0,0.7854,base_link,0,0,1,0,0,-2.0944,2.0944,,,,,,,,
Empty_Link1_2,2.23010497105575E-05,0.0379786312282531,0.000316026230529565,0,0,0,0.0611809794136084,9.9543586684263E-06,3.72353040733886E-09,-2.73045208860096E-18,4.21625737936107E-06,1.97092642232907E-10,1.00256802197203E-05,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link1_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link1_2.STL,,Leg1_2-1,坐标系7,基准轴7,L1_2,revolute,0,0.06,0.001894,0,0,0,Empty_Link1_1,-1,0,0,0,0,-2.0944,2.0944,,,,,,,,
Empty_Link1_3,-0.000205402388474427,0.090567333545968,0.00386969200627693,0,0,0,0.0425517722360711,2.10424482746868E-05,-5.48654700730799E-12,3.5917796924978E-12,8.32040293601251E-06,4.63417073629606E-07,2.49644856307801E-05,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link1_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link1_3.STL,,Leg1_3-1,坐标系13,基准轴13,L1_3,revolute,0,0.075807,-9.4375E-05,0,0,0,Empty_Link1_2,1,0,0,0,0,-2.0944,2.0944,,,,,,,,
Empty_Link2_1,1.34695927764225E-17,0.0299999999999999,0.0018947216847601,0,0,0,0.0124849113953182,5.69203233862196E-06,-3.28180298735742E-21,4.23256396384778E-21,7.29898011192699E-06,-1.35354137821917E-21,5.69203233862196E-06,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link2_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link2_1.STL,,Leg2_1-1,坐标系2,基准轴2,L2_1,revolute,-0.11402,0,-0.00083078,0,0,1.5708,base_link,0,0,-1,0,0,-2.0944,2.0944,,,,,,,,
Empty_Link2_2,2.23010498984379E-05,0.0379786311474948,0.000316023691016628,0,0,0,0.0611810446745335,9.95436231766123E-06,3.72324998234509E-09,1.25933734400021E-17,4.21626350235731E-06,1.97092644321889E-10,1.00256789520649E-05,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link2_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link2_2.STL,,Leg2_2-1,坐标系8,基准轴8,L2_2,revolute,0,0.06,0.0018947,0,0,0,Empty_Link2_1,1,0,0,0,0,-2.0944,2.0944,,,,,,,,
Empty_Link2_3,-0.000205402445964697,0.090567316894586,0.00386969252647781,0,0,0,0.0425517593525127,2.10424482015851E-05,-6.76801899948424E-12,4.10359245204323E-12,8.3204062259025E-06,4.63417591478139E-07,2.49644888893537E-05,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link2_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link2_3.STL,,Leg2_3-1,坐标系14,基准轴14,L2_3,revolute,0,0.075807,-9.4375E-05,0,0,0,Empty_Link2_2,1,0,0,0,0,-2.0944,2.0944,,,,,,,,
Empty_Link3_1,-2.77555756156289E-17,0.03,0.00116802137717336,0,0,0,0.0124849113953182,5.69203233862196E-06,-2.75285707857648E-21,3.40833949687794E-21,7.29898011192699E-06,-4.51178446103114E-21,5.69203233862197E-06,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link3_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link3_1.STL,,Leg3_1-1,坐标系3,基准轴3,L3_1,revolute,-0.064106,-0.11911,-0.00010408,0,0,2.3562,base_link,0,0,-1,0,0,-2.0944,2.0944,,,,,,,,
Empty_Link3_2,2.23010495962045E-05,0.0379786312284709,0.00031602623055808,0,0,0,0.0611809794132485,9.95435866842593E-06,3.72353040909264E-09,-1.15343432344502E-17,4.21625737934612E-06,1.97092640729349E-10,1.00256802197127E-05,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link3_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link3_2.STL,,Leg3_2-1,坐标系9,基准轴9,L3_2,revolute,0,0.06,0.001168,0,0,0,Empty_Link3_1,1,0,0,0,0,-2.0944,2.0944,,,,,,,,
Empty_Link3_3,-0.000205401933015534,0.0903278126993768,0.00763559797177255,0,0,0,0.0425517702502532,2.10424482178194E-05,-5.8767108543291E-12,3.32951603119302E-12,8.31069191683203E-06,-2.30286618475183E-07,2.49741964470486E-05,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link3_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link3_3.STL,,Leg3-3-1,坐标系15,基准轴15,L3_3,revolute,0,0.075807,-9.4375E-05,0,0,0,Empty_Link3_2,1,0,0,0,0,-2.0944,2.0944,,,,,,,,
Empty_Link4_1,-1.38777878078145E-17,0.03,0.000233833743558315,0,0,0,0.0124849113953182,5.69203233862196E-06,-2.5410988417629E-21,4.09844305011973E-21,7.29898011192698E-06,3.89192643657554E-21,5.69203233862196E-06,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link4_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link4_1.STL,,Leg4_1-1,坐标系4,基准轴4,L4_1,revolute,0.064106,-0.11911,0.00083011,0,0,-2.3562,base_link,0,0,1,0,0,-2.0944,2.0944,,,,,,,,
Empty_Link4_2,2.23010496335774E-05,0.0379786312280972,0.000316026230530893,0,0,0,0.0611809794141035,9.9543586685095E-06,3.72353041380998E-09,9.75178198132672E-19,4.21625737936793E-06,1.97092631289633E-10,1.00256802198048E-05,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link4_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link4_2.STL,,Leg4_2-1,坐标系10,基准轴10,L4_2,revolute,0,0.06,0.00023383,0,0,0,Empty_Link4_1,-1,0,0,0,0,-2.0944,2.0944,,,,,,,,
Empty_Link4_3,-0.000205402388474163,0.0905673335459682,0.00386969200627698,0,0,0,0.0425517722360712,2.10424482746869E-05,-5.4865470102726E-12,3.59177969120469E-12,8.32040293601252E-06,4.63417073629614E-07,2.49644856307801E-05,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link4_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link4_3.STL,,Leg4_3-1,坐标系16,基准轴16,L4_3,revolute,0,0.075807,-9.4375E-05,0,0,0,Empty_Link4_2,1,0,0,0,0,-2.0944,2.0944,,,,,,,,
Empty_Link5_1,1.85224882579531E-18,0.03,0.00023316064417904,0,0,0,0.0124849113953182,5.69203233862196E-06,3.13865716785285E-21,3.20223988755161E-21,7.29898011192699E-06,1.78621756718691E-21,5.69203233862196E-06,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link5_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link5_1.STL,,Leg5_1-1,坐标系5,基准轴5,L5_1,revolute,0.11402,0,0.00083078,0,0,-1.5708,base_link,0,0,1,0,0,-2.0944,2.0944,,,,,,,,
Empty_Link5_2,2.23010497450384E-05,0.0379786311477796,0.000316023691054129,0,0,0,0.0611810446740645,9.95436231766076E-06,3.72324998456517E-09,3.03485752148019E-20,4.21626350233521E-06,1.97092642536007E-10,1.00256789520525E-05,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link5_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link5_2.STL,,Leg5_2-1,坐标系11,基准轴11,L5_2,revolute,0,0.06,0.00023316,0,0,0,Empty_Link5_1,-1,0,0,0,0,-2.0944,2.0944,,,,,,,,
Empty_Link5_3,-0.000205402445964644,0.090567316894586,0.00386969252647787,0,0,0,0.0425517593525128,2.1042448201585E-05,-6.76801899725818E-12,4.10359244625057E-12,8.32040622590251E-06,4.63417591478128E-07,2.49644888893537E-05,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link5_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link5_3.STL,,Leg5_3-1,坐标系17,基准轴17,L5_3,revolute,0,0.075807,-9.4375E-05,0,0,0,Empty_Link5_2,1,0,0,0,0,-2.0944,2.0944,,,,,,,,
Empty_Link6_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link6_1.STL,1,1,1,1,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link6_1.STL,,Leg6_1-1,坐标系6,基准轴6,L6_1,revolute,0.064106,0.11911,0.00010408,0,0,-0.7854,base_link,0,0,1,0,0,-2.0944,2.0944,,,,,,,,
Empty_Link6_2,2.23010497450576E-05,0.0379786312281867,0.000316026230520652,0,0,0,0.0611809794137163,9.95435866842633E-06,3.7235304069901E-09,3.2649164671794E-20,4.21625737936564E-06,1.97092642538275E-10,1.00256802197224E-05,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link6_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link6_2.STL,,Leg6_2-1,坐标系12,基准轴12,L6_2,revolute,0,0.06,0.00095986,0,0,0,Empty_Link6_1,-1,0,0,0,0,-2.0944,2.0944,,,,,,,,
Empty_Link6_3,-0.00020540238847426,0.0905673335459682,0.00386969200627693,0,0,0,0.0425517722360711,2.10424482746868E-05,-5.48654700222579E-12,3.59177969138059E-12,8.32040293601252E-06,4.63417073629613E-07,2.49644856307801E-05,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link6_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SLDASM/meshes/Empty_Link6_3.STL,,Leg6_3-1,坐标系18,基准轴18,L6_3,revolute,0,0.075807,-9.4375E-05,0,0,0,Empty_Link6_2,1,0,0,0,0,-2.0944,2.0944,,,,,,,,
